Program,Link
Aeronautics and Astronautics,https://majors.stanford.edu/opportunities/aeronautics-and-astronautics
African and African American Studies,https://majors.stanford.edu/opportunities/african-and-african-american-studies
African Studies,https://majors.stanford.edu/opportunities/african-studies
American Studies,https://majors.stanford.edu/opportunities/american-studies
Anthropology,https://majors.stanford.edu/opportunities/anthropology
Applied Physics,https://majors.stanford.edu/opportunities/applied-physics
Archaeology,https://majors.stanford.edu/opportunities/archaeology
Art History,https://majors.stanford.edu/opportunities/art-history
Art Practice,https://majors.stanford.edu/opportunities/art-practice
Asian American Studies,https://majors.stanford.edu/opportunities/asian-american-studies
Atmosphere/Energy,https://majors.stanford.edu/opportunities/atmosphereenergy
Bioengineering,https://majors.stanford.edu/opportunities/bioengineering
Biology,https://majors.stanford.edu/opportunities/biology
Biomechanical Engineering,https://majors.stanford.edu/opportunities/biomechanical-engineering
Biomedical Computation,https://majors.stanford.edu/opportunities/biomedical-computation
Chemical Engineering,https://majors.stanford.edu/opportunities/chemical-engineering
Chemistry,https://majors.stanford.edu/opportunities/chemistry
Chicana/o - Latina/o Studies,https://majors.stanford.edu/opportunities/chicanao-latinao-studies
China Studies,https://majors.stanford.edu/opportunities/china-studies
Civil Engineering,https://majors.stanford.edu/opportunities/civil-engineering
Classics,https://majors.stanford.edu/opportunities/classics
Communication,https://majors.stanford.edu/opportunities/communication
Community Health and Prevention Research,https://majors.stanford.edu/opportunities/community-health-and-prevention-research
Comparative Literature,https://majors.stanford.edu/opportunities/comparative-literature
Comparative Studies in Race and Ethnicity,https://majors.stanford.edu/opportunities/comparative-studies-race-and-ethnicity
Computer Science,https://majors.stanford.edu/opportunities/computer-science
Creative Writing,https://majors.stanford.edu/opportunities/creative-writing
Dance (TAPS Minor),https://majors.stanford.edu/opportunities/dance-taps-minor
Data Science,https://majors.stanford.edu/opportunities/data-science
Data Science & Social Systems,https://majors.stanford.edu/opportunities/data-science-social-systems
"Democracy, Development, and the Rule of Law",https://majors.stanford.edu/opportunities/democracy-development-and-rule-law
Design,https://majors.stanford.edu/opportunities/design
Digital Humanities,https://majors.stanford.edu/opportunities/digital-humanities
Earth and Planetary Sciences,https://majors.stanford.edu/opportunities/earth-systems
